District,Year,Lower quintiles HH,Upper quintiles HH,Gini coefficient,Price_imported Maize,Price_imported PB rice,Price_imported FB rice,Price_local Peanut Kernels,Price_local uns. peanut,Price_local Maize,Price_local Millet,Price_local Cowpea,Price_local Sorghum,Producer price_H. rice,Producer price_uns. Peanut,Producer price_Millet,Producer price_Sorghum,Producer price s. peanut,Producer price_Maize,Producer price_Cowpea
DAKAR,2015,2.5,43.2,0.2,,,,,,,,,,,,,,,,
DAKAR,2016,0,55.8,0.8,227.9421,278.0903,349.0278,600.1975,330.8009,232.1923,233.261,435.0692,238.4838,348.6091,,,,,,
DAKAR,2017,0,57.6,0.09,226.6025,286.2412,351.9227,626.9218,273.0642,237.0251,247.2689,413.4612,259.0865,347.0907,,,,,,
DAKAR,2018,1.9,45.9,0.38,226.5506,288.4413,358.138,567.494,356.5538,229.2397,245.5384,567.0194,260.6491,343.8141,,,,,,
DAKAR,2019,4.3,39.5,0.34,218.4352,296.1549,348.724,576.3672,380.2579,215.2331,249.2088,760.0911,218.7759,342.2656,,,,,,
DAKAR,2020,,,,208.3491,301.8378,348.1956,627.1875,458.9383,201.1766,276.3912,518.2176,213.3702,346.9271,,,,,,
DAKAR,2021,,,,216.1869,301.669,354.1253,682.702,504.7458,203.0665,276.0998,460.5156,210.7106,349.9653,,,,,,
DIOURBEL,2015,27.8,9.4,0.36,,,,,,,,,,,,,,,,
DIOURBEL,2016,12.7,16,2.4,215.276,266.1447,371.3315,582.6742,327.1082,193.068,189.1013,318.3507,210.7465,268.5532,299,208.3333,175,,,
DIOURBEL,2017,16.8,12.1,0.31,213.723,273.7897,378.5634,568.9882,285.4342,201.5706,220.0315,297.3853,236.5957,268.6105,299,208.3333,175,,,
DIOURBEL,2018,25.7,7.5,0.27,205.728,273.2514,369.3041,499.0978,254.4959,199.5832,203.2687,506.597,269.0797,276.3002,299,208.3333,175,,,
DIOURBEL,2019,20.1,9.6,0.2,206.2178,289.2563,431.6739,560.2652,310.3203,193.9344,223.8802,691.9938,263.3182,284.3357,299,208.3333,175,,,
DIOURBEL,2020,,,,210.086,313.3729,444.2745,673.9304,369.6906,221.4053,256.7186,457.7389,264.2339,317.2549,302.7674,209.2245,176.7289,,,
DIOURBEL,2021,,,,236.9456,317.7043,446.5076,725.7709,371.3295,243.0053,254.5324,397.8802,257.3696,301.5001,328.2778,221.7708,203.2465,,,
FATICK,2015,27.8,9.4,0.36,,,,,,,,,,,,,,,,
FATICK,2016,32.1,2.6,3.8,225.0102,277.1402,351.3933,641.1516,289.4018,203.4434,196.9959,445.9583,232.4849,261.1978,252.9447,171.0354,196.2951,548.5211,182.3856,304.4775
FATICK,2017,22,4.8,0.39,217.6582,297.4248,351.0644,645.459,231.3411,209.9295,221.3668,394.6036,240.759,276.5191,205.6744,200.2224,210.7358,537.2166,184.0192,282.6088
FATICK,2018,25.7,7.5,0.27,216.7409,301.4954,359.1431,545.9455,203.944,227.6049,221.9646,624.324,315.1611,281.6176,182.6838,190.2415,261.5461,470.1375,196.5397,489.8035
FATICK,2019,20.1,9.6,0.2,235.9391,300.2205,429.1856,550.0599,244.7549,233.7901,235.4062,987.2828,261.3567,287.5,207.7841,201.9849,215.5476,497.819,195.1938,810.755
FATICK,2020,,,,240.7928,329.5834,481.7366,588.8839,333.2497,231.6361,268.5403,762.5788,266.665,293.3824,278.8902,220.2228,212.5493,480.2194,190.0912,560.2744
FATICK,2021,,,,241.5814,320.6687,466.167,650.1088,319.0309,222.7259,259.0397,671.6039,263.6652,299.0114,288.4012,216.681,220.8748,538.1163,196.5712,544.3355
KAFFRINE,2015,27.8,9.4,0.36,,,,,,,,,,,,,,,,
KAFFRINE,2016,57.7,1.5,4.2,200,266.8932,409.1642,538.0845,244.0072,190.0973,178.5634,452.1363,179.6513,,223.2619,172.1634,190.6146,493.5846,180.1771,400.0417
KAFFRINE,2017,62.7,0.8,0.42,200,272.8388,407.3173,530.181,232.7711,186.667,194.5719,426.4141,170.3988,,208.0475,185.6582,196.0765,487.3941,176.6176,391.6213
KAFFRINE,2018,25.7,7.5,0.27,200,279.2232,386.38,398.9543,225.4021,163.8252,170.4878,501.4888,216.1467,,188.694,163.0348,208.4493,361.3938,156.7593,416.4297
KAFFRINE,2019,20.1,9.6,0.2,200,298.0385,438.1944,538.0803,245.2402,182.8721,196.4498,633.6163,217.2605,,209.4646,185.4417,202.5767,503.0761,171.8802,487.5998
KAFFRINE,2020,,,,218.5185,312.7786,481.5846,727.0034,267.7955,213.2253,234.8487,610.7086,216.7829,,242.3417,215.8515,202.5377,663.6261,187.0131,550.164
KAFFRINE,2021,,,,290.8565,326.9621,458.4228,697.7206,294.7019,231.9326,239.3915,519.9239,216.6831,,268.0558,214.3465,206.3638,652.7644,202.5699,425.7272
KAOLACK,2015,27.8,9.4,0.36,,,,,,,,,,,,,,,,
KAOLACK,2016,29.1,8.1,4.3,180.0212,297.632,368.9792,484.444,249.547,185.6355,173.7261,383.4433,223.8269,276.1123,226.5912,164.7359,178.0715,442.5798,176.6349,192.073
KAOLACK,2017,21.7,10.1,0.44,176.4274,307.0875,392.4893,498.7083,219.8111,177.5618,195.7908,317.5978,237.197,280.0761,198.7166,185.7312,196.3887,452.7097,166.0308,199.3226
KAOLACK,2018,25.7,7.5,0.27,174.4574,309.6284,400.1736,400.0418,203.5373,164.5947,168.607,427.8899,250.0292,305.6988,196.8688,158.7972,214.4431,370.8697,152.5946,258.4082
KAOLACK,2019,20.1,9.6,0.2,169.8334,300.726,453.9858,477.9828,243.335,180.6505,197.0372,607.0632,224.0989,333.4401,235.5093,186.735,209.9251,442.0037,170.1308,262.0703
KAOLACK,2020,,,,184.4576,313.6893,478.5979,647.9843,309.7067,185.5236,235.7915,523.8335,222.4321,325.9298,275.0149,220.072,195.0446,603.2912,182.4157,429.2898
KAOLACK,2021,,,,218.5165,325.1959,469.8592,699.27,310.213,211.486,222.722,516.1015,231.4417,321.5469,287.5369,212.7318,210.3911,658.455,207.8953,463.1931
KEDOUGOU,2015,40.6,3.3,0.36,,,,,,,,,,,,,,,,
KEDOUGOU,2016,36.1,1.9,3.1,240.9362,276.1485,427.9926,546.6157,220.2449,268.3337,264.8396,560.0683,287.7253,,245,290.625,275,600.0477,200.0045,512.5
KEDOUGOU,2017,43.9,1.7,0.39,227.7541,286.259,435.058,560.6414,207.6426,255.4196,286.4587,536.4515,294.2292,,245,290.625,275,600.0493,200.0046,512.5
KEDOUGOU,2018,45.2,2.2,0.29,237.5014,299.057,427.0438,559.6373,237.8871,248.5314,301.0176,580.9529,299.3657,,245,290.625,275,600.0466,199.9846,512.5
KEDOUGOU,2019,45.5,6.3,0.33,242.9572,303.6622,436.0693,577.8467,224.1389,228.9884,268.7782,619.9128,276.9045,,245,290.625,275,600.0495,187.4949,512.5
KEDOUGOU,2020,,,,239.4401,323.1961,453.9874,665.665,245.1573,226.8481,298.0788,586.1986,291.1367,,244.5052,291.054,276.36,604.765,184.1959,519.7859
KEDOUGOU,2021,,,,240.5948,327.7276,457.5691,776.5024,277.3403,228.1115,314.2922,649.9258,309.2191,,248.3854,297.9167,294.184,672.0633,206.1367,579.8206
KOLDA,2015,40.6,3.3,0.36,,,,,,,,,,,,,,,,
KOLDA,2016,59.7,2.1,3.8,225.4852,279.1505,417.8634,590.6272,254.3663,216.4409,228.3195,552.165,227.2044,322.0434,212.4274,192.9581,205.2602,357.8475,196.3957,506.492
KOLDA,2017,66.5,1.7,0.55,248.3536,285.0096,416.667,604.6306,245.5667,230.6771,245.0758,543.6714,255.8721,284.8408,220.4087,199.8916,188.8325,440.6942,195.5811,496.2226
KOLDA,2018,45.2,2.2,0.29,233.2165,285.1823,407.4942,503.7114,236.083,221.3709,224.34,595.5195,257.7202,297.0374,242.1372,170.4333,164.5538,399.4957,178.5834,464.7727
KOLDA,2019,45.5,6.3,0.33,203.1166,302.5811,440.1432,513.9358,253.0691,212.8186,232.4928,765.9524,243.7441,304.6429,273.8055,190.0771,185.8984,348.7557,175.0784,437.5
KOLDA,2020,,,,199.0774,315.251,464.7187,654.9831,312.4404,228.7539,262.8321,666.9812,252.7001,335.806,256.9483,203.592,172.1595,432.8124,187.4595,420.0994
KOLDA,2021,,,,210.044,307.3183,453.9037,691.7517,320.7161,233.7911,267.8569,619.6875,256.971,339.0374,291.7337,210.1021,197.5071,527.3939,193.4392,459.0383
LOUGA,2015,20.1,8.9,0.32,,,,,,,,,,,,,,,,
LOUGA,2016,29.2,10.4,2.9,231.9672,271.95,375.0909,655.624,244.3027,203.9914,205.705,256.3309,238.9747,256.8707,,,,,,388
LOUGA,2017,22.8,6.8,0.33,207.3318,276.5324,374.6959,604.0487,236.5902,200.4401,239.9815,243.4664,249.1721,256.4389,,,,,,388
LOUGA,2018,23.1,6.1,0.1,188.873,294.3142,368.0338,399.3911,254.1981,200.8935,213.9999,377.9748,256.8396,267.417,,,,,,388
LOUGA,2019,26.1,12.1,0.14,193.9044,303.852,395.6655,413.487,273.3201,211.1383,240.8466,603.6989,262.5,293.7541,,,,,,388
LOUGA,2020,,,,188.6376,330.948,410.8037,552.9811,291.786,208.9244,279.854,423.2897,268.1604,283.9707,,,,,,388
LOUGA,2021,,,,205.9128,332.2694,413.7045,691.0727,332.4746,217.523,280.0225,380.6238,272.3251,292.1309,,,,,,375.5833
MATAM,2015,20.1,8.9,0.32,,,,,,,,,,,,,,,,
MATAM,2016,20.4,2.4,2.7,210.3235,266.411,363.7378,646.5223,357.9843,218.7566,239.8084,532.064,224.4756,264.5963,,,,,250,
MATAM,2017,25.8,1,0.31,231.6137,281.8725,353.6957,622.2512,378.3059,235.4974,269.9695,538.8407,243.4358,269.9618,,,,,250,
MATAM,2018,23.1,6.1,0.1,246.4535,290.1606,370.8987,545.4639,324.9074,266.3804,256.5634,606.9815,297.693,291.4321,,,,,250,
MATAM,2019,26.1,12.1,0.14,248.6576,303.5397,407.3111,565.2351,291.535,274.222,258.1477,623.5639,310.8214,300.9898,,,,,250,
MATAM,2020,,,,258.143,321.0833,469.6202,666.679,375.4034,237.7094,290.1907,757.3515,284.6415,305.7439,,,,,250,
MATAM,2021,,,,257.1484,324.8463,484.8979,674.9011,490.0704,280.1297,283.8851,760.4564,295.0585,306.3213,,,,,250,
SAINT-LOUIS,2015,20.1,8.9,0.32,,,,,,,,,,,,,,,,
SAINT-LOUIS,2016,19.7,9.7,3.2,231.4249,279.1124,401.0764,661.092,326.2126,217.6615,236.8461,534.7473,240.8348,274.7448,,,,,,433
SAINT-LOUIS,2017,20,9.5,0.32,245.6277,288.85,401.0774,654.1376,294.9392,240.7681,265.4717,483.7296,261.4451,293.6436,,,,,,433
SAINT-LOUIS,2018,23.1,6.1,0.1,241.2122,299.9603,401.6493,570.1073,275.2553,238.3699,251.0758,646.477,253.4133,289.9269,,,,,,433
SAINT-LOUIS,2019,26.1,12.1,0.14,230.4426,302.5945,401.8229,636.6102,328.0488,241.4056,269.7344,835.4566,282.3642,283.4773,,,,,,433
SAINT-LOUIS,2020,,,,234.8976,315.2123,464.8691,784.3415,381.0758,257.0303,317.8917,731.692,299.7968,287.4016,,,,,,433
SAINT-LOUIS,2021,,,,237.2144,307.0186,490.0938,826.1555,401.2968,260.4891,309.415,654.9962,299.7964,293.53,,,,,,435.3819
SEDHIOU,2015,40.6,3.3,0.36,,,,,,,,,,,,,,,,
SEDHIOU,2016,34.8,1.2,3.2,275,275,384.9849,522.6585,214.4114,211.9766,182.9539,541.8681,216.991,349.9999,209.7467,162.0041,200,446.2866,189.6998,376.0903
SEDHIOU,2017,43,0.6,0.39,273.6256,286.1901,396.1912,527.6562,237.6324,218.1895,207.3876,525.2464,231.3869,349.9999,201.4001,184.771,200,457.0308,194.2584,418.0456
SEDHIOU,2018,45.2,2.2,0.29,261.0677,296.2242,397.1772,486.743,199.4456,205.1137,182.9944,554.8763,236.8753,349.9999,186.4096,157.451,200.6944,411.5093,179.5566,357.6929
SEDHIOU,2019,45.5,6.3,0.33,233.015,303.4798,431.1083,522.6806,214.0857,213.2927,214.0211,733.1771,263.2027,348.8435,195.6239,176.0854,199.0596,422.5507,183.7543,497.9066
SEDHIOU,2020,,,,225,315.3631,448.4819,670.1273,269.2028,244.1056,261.488,652.7459,393.7463,365.0941,249.989,175.3826,199.8987,593.8361,196.7973,505.3683
SEDHIOU,2021,,,,225,314.8684,455.3987,727.5087,306.0201,229.5553,242.02,604.7372,374.8935,364.8923,283.6592,203.1073,200,659.6992,197.7062,516.7729
TAMBACOUNDA,2015,40.6,3.3,0.36,,,,,,,,,,,,,,,,
TAMBACOUNDA,2016,59.8,2.7,4.7,200,264.3293,432.9722,490.5212,226.3363,167.6411,170.9592,479.7051,187.5233,,191.889,130.8175,142.0202,384.0381,121.8175,370.1738
TAMBACOUNDA,2017,48.9,3.2,0.48,200,272.5051,429.3257,499.3016,228.1228,181.3679,201.5911,474.6263,213.4011,,188.4611,159.983,171.0392,399.891,144.8532,373.4536
TAMBACOUNDA,2018,45.2,2.2,0.29,200,279.0984,438.5842,433.5226,197.9251,185.8041,197.4296,466.8418,222.4062,,166.8532,153.9547,186.4165,354.6842,149.4149,366.5212
TAMBACOUNDA,2019,45.5,6.3,0.33,200,300.1532,453.0307,485.7442,213.0782,194.653,206.8772,521.4718,219.7054,,181.9923,162.092,184.8469,402.9724,151.8564,422.7064
TAMBACOUNDA,2020,,,,200,350.8216,480.6159,560.1116,315.204,198.4719,236.4241,533.862,222.124,,229.49,185.4439,186.4511,457.6442,154.6732,404.576
TAMBACOUNDA,2021,,,,201.5625,352.236,494.7593,553.5528,294.3099,204.3889,239.0662,524.7706,231.1262,,249.2835,197.8416,187.623,450.3753,168.0493,421.6099
THIES,2015,2.5,43.2,0.2,,,,,,,,,,,,,,,,
THIES,2016,5.1,17.3,2.8,240.0591,284.4948,374.3968,678.4804,375.572,237.0396,222.3841,417.2547,234.7513,257.085,309.7345,197.268,180.3107,634.9189,209.5656,355.7898
THIES,2017,6.4,15.9,0.31,230.0126,286.9965,392.9764,599.3187,277.7711,229.6749,234.4067,358.2791,236.7288,256.1354,234.8635,207.1629,212.3033,549.7974,211.1838,268.8659
THIES,2018,1.9,45.9,0.38,227.8454,297.8389,399.9023,544.9543,284.7428,220.6264,215.0801,488.2844,236.4587,262.1304,250.8583,181.4189,200.5409,492.8824,211.7218,412.3338
THIES,2019,4.3,39.5,0.34,226.7574,286.9002,400,560.1274,280.1393,216.4629,233.2155,693.903,254.2342,264.8628,291.8801,201.3357,227.8268,498.7773,196.9853,596.5333
THIES,2020,,,,229.5715,293.2946,400.7708,621.9739,333.689,238.7172,268.9151,482.3038,268.6044,277.4475,294.8831,218.4436,237.1409,606.2721,206.9384,337.4496
THIES,2021,,,,240.3614,321.5283,406.8833,704.8204,415.1663,246.4184,275.938,415.2759,262.9907,289.3409,361.32,229.4387,222.3521,674.2556,216.6931,331.267
ZIGUINCHOR,2015,40.6,3.3,0.36,,,,,,,,,,,,,,,,
ZIGUINCHOR,2016,6.5,5.3,3.1,300,276.4283,481.966,635.464,255.056,262.5417,255.9184,606.4082,282.8568,363.6942,300,,271.0047,,250,
ZIGUINCHOR,2017,12.7,6.2,0.35,300,285.7038,436.4537,642.1745,259.2153,271.0359,272.4783,596.1024,295.3299,338.6016,300,,271.0047,,250,
ZIGUINCHOR,2018,45.2,2.2,0.29,300,292.1663,403.9904,623.9294,284.2659,258.3825,255.9172,669.6123,304.9479,323.4437,300,,271.0047,,250,
ZIGUINCHOR,2019,45.5,6.3,0.33,300,302.808,429.8258,669.2708,417.4261,252.474,255.8449,800.531,296.6667,371.2174,300,,271.0247,,250,
ZIGUINCHOR,2020,,,,301.4019,326.8608,448.6454,875.1939,491.8714,279.755,296.8605,725.5545,315.4823,394.086,304.4643,,271.5867,,251.6493,
ZIGUINCHOR,2021,,,,308.6476,326.0417,448.3264,853.6759,529.4362,286.0561,290.8763,651.7199,326.5735,366.5139,394.5437,,279.945,,256.4236,
