District,Year,Peanut (tons),Cowpea (tons),Cassava (tons),Millet (tons),Maize (tons),Sorghum (tons),Rice (tons),Sheeps (number of heads),Chickens (number of heads),Assins (number of heads),Cows (number of heads),Goats (number of heads),Lower quintiles HH (%),Upper quintiles HH (%),Gini coefficient,Price_imported Maize (FCFA/kg),Price_imported PB rice (FCFA/kg),Price_imported FB rice (FCFA/kg),Price_local Peanut Kernels (FCFA/kg),Price_local uns. peanut (FCFA/kg),Price_local Maize (FCFA/kg),Price_local Millet (FCFA/kg),Price_local Cowpea (FCFA/kg),Price_local Sorghum (FCFA/kg),Producer price_H. rice (FCFA/kg),Producer price_uns. Peanut (FCFA/kg),Producer price_Millet (FCFA/kg),Producer price_Sorghum (FCFA/kg),Producer price s. peanut (FCFA/kg),Producer price_Maize (FCFA/kg),Producer price_Cowpea (FCFA/kg),Less -3 ET_Size Age (%),Less -2 ET_Size Age (%),Avg RCS (ET)_Size Age (%),Less -3 ET_Weight Height (%),Less -2 ET_Weight Height (%),Less +2 ET_Weight Height (%),Avg RCS (ET)_Weight Height,Less -3 ET_Weight Age (%),Less -2 ET_Weight Age (%),Less  +2 ET_Weight Age (%),Avg RCS (ET)_Weight Age,Neonatal mortality (%),Post-neonatal mortality (%),Child mortality (%),Juvenile mortality (%),Child-juvenile mortality (%),Electricity (%),Time to get water (min),Wealth factor (%),HH heads w/o formal education (%),Literacy rt of hh heads (%),Female head of hh (%),FEI (%),Insecticide use (%),Irrigation use (%),Husbandry (%),Avg hh size (units),Fertilizer Use (%),Herbicide use (%),SMI,VGI,WDI,Precipitation
KOLDA,2019,225654,1012,6590,44167,47350,16182,127972,214989.7438,745483.6837,58676.9291,415107.1814,257578.1204,45.5,6.3,0.33,203.1166,302.5811,440.1432,513.9358,253.0691,212.8186,232.4928,765.9524,243.7441,304.6429,273.8055,190.0771,185.8984,348.7557,175.0784,437.5,6.4,22.3,-1.1,1.8,10.6,0.9,-0.7,4.3,19,0.3,-1.1,2.5,2,4.5,2.8,7.1,4.8371,55.7899,1.8023,76.98,26.74,9.8298,0.1142,6.3486,8.0048,73.7814,9.885,13.1643,,9.477614673,7.876833141,438.4098135,906
KOLDA,2020,308742,1853,15074,82633,182702,56463,357690,,,,,,,,,199.0774,315.251,464.7187,654.9831,312.4404,228.7539,262.8321,666.9812,252.7001,335.806,256.9483,203.592,172.1595,432.8124,187.4595,420.0994,,,,,,,,,,,,,,,,,,,,72.88,34.44,4.5397,0.2621,4.912,6.832,80.1018,10.4149,40.8718,45.3757,9.526411077,7.962137737,421.6268333,1151
KOLDA,2021,308925,1929,16142,71044,169517,61809,376078,,,,,,,,,210.044,307.3183,453.9037,691.7517,320.7161,233.7911,267.8569,619.6875,256.971,339.0374,291.7337,210.1021,197.5071,527.3939,193.4392,459.0383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.20198645,8.331875101,626.5825759,981
LOUGA,2015,,,,,,,,,,,,,20.1,8.9,0.32,,,,,,,,,,,,,,,,,4,18.9,-1,2.9,12.4,0.9,-0.7,4.2,19.8,0.3,-1.1,2.1,1.8,3.9,1.1,5,5.6008,59.9795,2.6886,,,,,,,,,,,9.583213948,7.927064607,597.2333161,425
LOUGA,2016,36316.6667,14870.3333,15356.5,13935.3333,1066.5,1490.6667,,,,,,,29.2,10.4,2.9,231.9672,271.95,375.0909,655.624,244.3027,203.9914,205.705,256.3309,238.9747,256.8707,,,,,,388,3.1,15.8,-1,2.2,9.6,0.8,-0.6,3.4,16.1,0.3,-1,2.7,1.4,4.1,1.2,5.2,7.5957,,2.6216,,,,,,,,,,,9.187870138,8.274673924,639.1135327,375
LOUGA,2017,59389,22396.3333,24229,26492.3333,1544,457.3333,228,726976.2636,366931.9213,61747.4922,465470.1014,435903.5557,22.8,6.8,0.33,207.3318,276.5324,374.6959,604.0487,236.5902,200.4401,239.9815,243.4664,249.1721,256.4389,,,,,,388,3,16.1,-1,2.2,13.8,0.5,-0.8,3,17.5,0.3,-1.1,3.3,1.5,4.8,1.7,6.4,8.3975,79.0297,2.6182,75.095,33.4347,6.0633,0.7044,14.2881,,84.6398,8.8211,100,6.2896,9.299322259,8.354590531,635.7568923,326
LOUGA,2018,34855.6667,,25510,12742.3333,1129,268,,962014.0572,369025.3451,74202.1567,368575.9013,475581.6397,23.1,6.1,0.1,188.873,294.3142,368.0338,399.3911,254.1981,200.8935,213.9999,377.9748,256.8396,267.417,,,,,,388,3.9,17.4,-0.9,1.9,11.1,1.1,-0.8,3.5,18.9,0.5,-1.1,2.5,1.5,4.1,1.4,5.4,7.9199,77.2608,2.6796,80.37,26.49,9.2657,0.488,18.6253,2.7091,92.1624,8.9256,11.2168,5.5822,8.897375042,8.071037371,561.3492521,340
LOUGA,2019,61272,95377,76530,26945,3387,804,,1834333.904,313162.7326,158455.7143,546824.0049,817020.5152,26.1,12.1,0.14,193.9044,303.852,395.6655,413.487,273.3201,211.1383,240.8466,603.6989,262.5,293.7541,,,,,,388,5,17.9,-1,2.7,12.8,0.9,-0.8,5,17.7,0.3,-1.1,2.8,1.7,4.5,0.9,5.3,8.7909,74.8286,2.9398,79.19,27.47,10.6728,0.4872,6.6644,3.0222,84.0655,8.3179,5.7866,4.3649,8.882082631,8.417382508,623.4637434,296
LOUGA,2020,108974,162287,88027,45637,3773,2030,,,,,,,,,,188.6376,330.948,410.8037,552.9811,291.786,208.9244,279.854,423.2897,268.1604,283.9707,,,,,,388,,,,,,,,,,,,,,,,,,,,80.53,31.12,9.4596,0.1385,9.2664,4.0172,89.9441,8.3118,10.4251,,9.368911504,8.523632877,615.5306344,491
LOUGA,2021,114683,129193,92471,44470,3307,1252,,,,,,,,,,205.9128,332.2694,413.7045,691.0727,332.4746,217.523,280.0225,380.6238,272.3251,292.1309,,,,,,375.5833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.662949966,9.60089215,,398
MATAM,2015,,,,,,,,,,,,,20.1,8.9,0.32,,,,,,,,,,,,,,,,,4,18.9,-1,2.9,12.4,0.9,-0.7,4.2,19.8,0.3,-1.1,2.1,1.8,3.9,1.1,5,6.4755,65.5388,2.4749,,,,,,,,,,,10.46385792,7.991936985,583.5587288,429
MATAM,2016,309,133.6667,,3270,602.6667,573.3333,44265,,,,,,20.4,2.4,2.7,210.3235,266.411,363.7378,646.5223,357.9843,218.7566,239.8084,532.064,224.4756,264.5963,,,,,250,,5.8,23,-1.1,2.7,12.7,0.9,-0.8,4.4,23.8,0.3,-1.2,1.7,2.5,4.2,1.4,5.5,6.7038,,2.5057,,,,,,,,,,,10.07493929,8.098401353,593.3633446,452
MATAM,2017,289,1926.6667,,3174,1534,1110.6667,52242,251019.9826,44005.2653,13045.0827,114003.6744,132905.5281,25.8,1,0.31,231.6137,281.8725,353.6957,622.2512,378.3059,235.4974,269.9695,538.8407,243.4358,269.9618,,,,,250,,5,19.7,-1,2.5,15,0.4,-1,5.3,22.4,0.4,-1.2,3.3,2.2,5.5,1.7,7.1,7.4054,71.1706,2.4348,95.3868,,9.4163,0.7352,7.5186,25.0847,74.127,7.9906,97.1037,3.9117,10.16185849,8.298407827,597.9431242,450
MATAM,2018,900.6667,,1758.3333,7152,564.6667,5423,,313350.702,41063.7825,11279.054,196451.6681,206890.5849,23.1,6.1,0.1,246.4535,290.1606,370.8987,545.4639,324.9074,266.3804,256.5634,606.9815,297.693,291.4321,,,,,250,,3.9,17.4,-0.9,1.9,11.1,1.1,-0.8,3.5,18.9,0.5,-1.1,2.5,1.5,4.1,1.4,5.4,8.4041,64.5252,2.3874,96.02,8.06,21.4573,0.1908,8.2846,30.6558,76.4278,11.6462,20.2316,20.8104,9.972134333,7.952424694,588.0178301,403
MATAM,2019,976,4980,5275,9136,1694,13180,,1350161.063,152526.2438,65087.7561,290325.5752,770953.1943,26.1,12.1,0.14,248.6576,303.5397,407.3111,565.2351,291.535,274.222,258.1477,623.5639,310.8214,300.9898,,,,,250,,5,17.9,-1,2.7,12.8,0.9,-0.8,5,17.7,0.3,-1.1,2.8,1.7,4.5,0.9,5.3,8.3859,79.0826,2.4756,94.1,21.38,6.8082,0.0956,3.1475,,69.6067,9.8747,13.1707,,9.986994827,7.807292927,574.1506129,361
MATAM,2020,1910,2785,8003,19738,298,11532,51823,,,,,,,,,258.143,321.0833,469.6202,666.679,375.4034,237.7094,290.1907,757.3515,284.6415,305.7439,,,,,250,,,,,,,,,,,,,,,,,,,,,86.09,20.78,14.5838,0.1156,,18.3424,59.8135,11.2072,17.6539,,10.17574398,7.874611989,545.5591556,570
MATAM,2021,2648,6445,3103,19151,3066,8694,72930,,,,,,,,,257.1484,324.8463,484.8979,674.9011,490.0704,280.1297,283.8851,760.4564,295.0585,306.3213,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.638532855,9.022653827,603.1885468,501
SAINT-LOUIS,2015,,,,,,,,,,,,,20.1,8.9,0.32,,,,,,,,,,,,,,,,,4,18.9,-1,2.9,12.4,0.9,-0.7,4.2,19.8,0.3,-1.1,2.1,1.8,3.9,1.1,5,7.5132,73.133,2.856,,,,,,,,,,,9.720385966,8.295259979,525.8284647,260
SAINT-LOUIS,2016,2336,699,2809,703.3333,2742.5,322.6667,198887.5,,,,,,19.7,9.7,3.2,231.4249,279.1124,401.0764,661.092,326.2126,217.6615,236.8461,534.7473,240.8348,274.7448,,,,,,433,4.1,18.9,-1,2.3,11.2,0.7,-0.7,3.8,18.7,0.5,-1.1,2.1,1.5,3.6,1.3,4.8,8.5191,,2.7922,,,,,,,,,,,9.160755629,8.851047412,577.371656,251
SAINT-LOUIS,2017,7167.5,671,50000,68.6667,4506,198.3333,200073,155993.8356,16339.4276,9141.602,61730.0296,109215.7084,20,9.5,0.32,245.6277,288.85,401.0774,654.1376,294.9392,240.7681,265.4717,483.7296,261.4451,293.6436,,,,,,433,3.1,17,-0.9,0.9,9.2,0.5,-0.7,1.7,16.2,0.2,-1,2.7,1.4,4.1,1,5.1,9.1209,74.2785,2.9604,85.5626,29.3572,4.6302,0.8322,3.4632,71.9543,85.5092,8.7104,100,31.9493,9.297281989,8.70392152,578.9992984,202
SAINT-LOUIS,2018,1365.3333,,19350,199,3118,1995,,139216.9974,18454.1228,4627.5293,81155.5286,101858.4593,23.1,6.1,0.1,241.2122,299.9603,401.6493,570.1073,275.2553,238.3699,251.0758,646.477,253.4133,289.9269,,,,,,433,3.9,17.4,-0.9,1.9,11.1,1.1,-0.8,3.5,18.9,0.5,-1.1,2.5,1.5,4.1,1.4,5.4,10.1164,84.0105,3.0009,88.47,20.01,15.6252,0.127,10.8062,50.8769,68.3055,9.8512,49.1331,49.0666,8.807618648,8.543202521,499.1834237,230
SAINT-LOUIS,2019,4095,4076,58050,338,14455,7101,,553872.2138,332429.6169,5184.1442,302078.9062,319159.2653,26.1,12.1,0.14,230.4426,302.5945,401.8229,636.6102,328.0488,241.4056,269.7344,835.4566,282.3642,283.4773,,,,,,433,5,17.9,-1,2.7,12.8,0.9,-0.8,5,17.7,0.3,-1.1,2.8,1.7,4.5,0.9,5.3,8.0366,64.3799,2.9767,74.48,28.65,5.9901,0.4138,9.1985,11.4246,79.7855,10.0064,35.0458,36.9421,8.829140956,8.73077079,538.2262546,182
SAINT-LOUIS,2020,8324,5678,40041,1572,5294,2833,420435,,,,,,,,,234.8976,315.2123,464.8691,784.3415,381.0758,257.0303,317.8917,731.692,299.7968,287.4016,,,,,,433,,,,,,,,,,,,,,,,,,,,60.14,56.8,13.33,0.0844,23.3405,58.9765,63.5078,6.6129,45.6009,33.9373,9.377131649,8.635935737,529.0319154,345
SAINT-LOUIS,2021,6923,3694,43026,1425,13707,2807,493335,,,,,,,,,237.2144,307.0186,490.0938,826.1555,401.2968,260.4891,309.415,654.9962,299.7964,293.53,,,,,,435.3819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.386329071,9.668028311,653.9254137,301
SEDHIOU,2015,,,,,,,,,,,,,40.6,3.3,0.36,,,,,,,,,,,,,,,,,7.6,25.5,-1.2,1.3,7.9,0.8,-0.6,4.2,19.1,0.1,-1.1,3.2,2.4,5.6,3.9,9.3,5.0314,34.8111,2.1861,,,,,,,,,,,9.1011272,8.416464174,314.5681026,1170
SEDHIOU,2016,13400,1207.3333,1513.6667,6059.6667,8138.3333,1644.6667,23573.6667,,,,,,34.8,1.2,3.2,275,275,384.9849,522.6585,214.4114,211.9766,182.9539,541.8681,216.991,349.9999,209.7467,162.0041,200,446.2866,189.6998,376.0903,8.7,24.6,-1.2,1.6,7.6,0.9,-0.6,5.3,17.7,0.4,-1.1,2.9,2.2,5.2,2.8,7.8,5.6575,,1.9091,,,,,,,,,,,9.093582717,8.57621139,385.2665124,1019
SEDHIOU,2017,16857.3333,320.3333,1919,12664.6667,24682,10176.6667,35466.6667,30417.2905,162396.6002,9358.0808,57908.636,43913.2516,43,0.6,0.39,273.6256,286.1901,396.1912,527.6562,237.6324,218.1895,207.3876,525.2464,231.3869,349.9999,201.4001,184.771,200,457.0308,194.2584,418.0456,7.8,26.6,-1.3,1.3,10.1,1.3,-0.6,4.1,22.5,0.5,-1.2,3.5,1.8,5.3,2.6,7.8,4.9124,40.6997,1.8836,71.5071,33.7451,12.4553,0.3655,6.1169,6.1523,60.1042,9.9778,100,,9.217697246,8.468474707,365.2369154,1040
SEDHIOU,2018,23720.3333,,2103.3333,15048.6667,29118,9459.6667,,60957.9621,249366.9491,13708.4182,82080.844,88420.646,45.2,2.2,0.29,261.0677,296.2242,397.1772,486.743,199.4456,205.1137,182.9944,554.8763,236.8753,349.9999,186.4096,157.451,200.6944,411.5093,179.5566,357.6929,7,23.8,-1.1,1.4,9.3,1.6,-0.6,3.8,18.6,1,-1,3.2,2.4,5.5,3.6,8.9,6.6089,42.3107,1.9167,69.4,41.65,8.9811,0.885,10.1539,8.3875,62.3307,12.3447,45.703,37.3719,8.877256289,8.207640312,324.7073112,960
SEDHIOU,2019,53241,1346,6310,23668,64849,72019,62831,94956.1689,444722.5448,20152.8155,202928.2034,142337.9634,45.5,6.3,0.33,233.015,303.4798,431.1083,522.6806,214.0857,213.2927,214.0211,733.1771,263.2027,348.8435,195.6239,176.0854,199.0596,422.5507,183.7543,497.9066,6.4,22.3,-1.1,1.8,10.6,0.9,-0.7,4.3,19,0.3,-1.1,2.5,2,4.5,2.8,7.1,4.8953,33.5324,1.7828,70.99,29.86,14.0933,0.1529,,21.3894,84.9904,13.0945,22.3337,12.5073,8.996809387,8.330027747,339.9741587,918
SEDHIOU,2020,88982,1224,9185,86933,160989,47712,333011,,,,,,,,,225,315.3631,448.4819,670.1273,269.2028,244.1056,261.488,652.7459,393.7463,365.0941,249.989,175.3826,199.8987,593.8361,196.7973,505.3683,,,,,,,,,,,,,,,,,,,,72.79,41.43,7.4676,0.7276,3.2148,5.2683,58.7632,11.6782,47.013,10.1095,9.245039095,8.315806078,347.6125572,1286
SEDHIOU,2021,100130,2858,9855,113501,137985,49430,292022,,,,,,,,,225,314.8684,455.3987,727.5087,306.0201,229.5553,242.02,604.7372,374.8935,364.8923,283.6592,203.1073,200,659.6992,197.7062,516.7729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.789459964,9.608963129,,984
TAMBACOUNDA,2015,,,,,,,,,,,,,40.6,3.3,0.36,,,,,,,,,,,,,,,,,7.6,25.5,-1.2,1.3,7.9,0.8,-0.6,4.2,19.1,0.1,-1.1,3.2,2.4,5.6,3.9,9.3,8.4171,31.8265,1.8201,,,,,,,,,,,10.23933955,7.903482742,443.5283848,794
TAMBACOUNDA,2016,22694.25,180.5,1004,10940.75,12439.75,5943.75,1026.25,,,,,,59.8,2.7,4.7,200,264.3293,432.9722,490.5212,226.3363,167.6411,170.9592,479.7051,187.5233,,191.889,130.8175,142.0202,384.0381,121.8175,370.1738,8,26.5,-1.2,1.8,9.5,0.4,-0.7,5,21,0.5,-1.2,2.8,2,4.8,6,10.5,8.392,,1.9504,,,,,,,,,,,10.15819986,7.766923036,514.5645571,690
TAMBACOUNDA,2017,25140.25,39.5,504.5,9567.5,11839,4882.75,1248,320594.8343,273451.7973,32315.742,190618.819,288798.6119,48.9,3.2,0.48,200,272.5051,429.3257,499.3016,228.1228,181.3679,201.5911,474.6263,213.4011,,188.4611,159.983,171.0392,399.891,144.8532,373.4536,8.7,26,-1.3,2.2,10.2,0.4,-0.7,5.7,21.2,0.5,-1.2,2.7,2.2,4.9,3.3,8,6.3608,52.5827,2.0463,91.3793,13.9889,4.2829,0.6785,31.8822,5.7312,67.4764,7.883,99.3814,19.8027,10.16603616,7.688865753,484.0713747,738
TAMBACOUNDA,2018,40506,,273.75,11633.25,15542.25,18066.75,,315531.3916,211796.6338,38813.7346,190524.7247,272721.4784,45.2,2.2,0.29,200,279.0984,438.5842,433.5226,197.9251,185.8041,197.4296,466.8418,222.4062,,166.8532,153.9547,186.4165,354.6842,149.4149,366.5212,7,23.8,-1.1,1.4,9.3,1.6,-0.6,3.8,18.6,1,-1,3.2,2.4,5.5,3.6,8.9,6.5731,51.9346,2.0809,91.69,12.99,8.3399,0.4786,6.4517,11.6599,71.1313,9.4314,29.4063,6.0978,9.977166202,7.461624253,470.9118464,715
TAMBACOUNDA,2019,161941,2778,1095,46189,36420,18816,678,373520.8545,194880.8272,48339.4859,470565.1904,411041.5283,45.5,6.3,0.33,200,300.1532,453.0307,485.7442,213.0782,194.653,206.8772,521.4718,219.7054,,181.9923,162.092,184.8469,402.9724,151.8564,422.7064,6.4,22.3,-1.1,1.8,10.6,0.9,-0.7,4.3,19,0.3,-1.1,2.5,2,4.5,2.8,7.1,9.4567,65.959,2.5559,87.6,18.05,2.7628,0.8071,16.2737,2.4955,65.453,10.4632,68.3345,2.7452,10.120063,7.566704016,487.6868005,638
TAMBACOUNDA,2020,197950,4289,12348,56544,97541,62457,21403,,,,,,,,,200,350.8216,480.6159,560.1116,315.204,198.4719,236.4241,533.862,222.124,,229.49,185.4439,186.4511,457.6442,154.6732,404.576,,,,,,,,,,,,,,,,,,,,90.04,20,5.9246,0.101,4.0722,7.999,71.5342,11.0607,23.5,6.384,10.09393021,7.569954129,456.4872676,802
TAMBACOUNDA,2021,159639,4514,13959,61433,100634,62554,27627,,,,,,,,,201.5625,352.236,494.7593,553.5528,294.3099,204.3889,239.0662,524.7706,231.1262,,249.2835,197.8416,187.623,450.3753,168.0493,421.6099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.975325787,7.433980578,583.3551288,773
THIES,2015,,,,,,,,,,,,,2.5,43.2,0.2,,,,,,,,,,,,,,,,,3,15.6,-0.8,1.2,5.6,1.7,-0.3,2.3,9.3,0.4,-0.7,1.7,1.3,3,1.3,4.2,11.0594,73.7616,3.4789,,,,,,,,,,,8.649565605,7.987332606,452.7756849,572
THIES,2016,21727.3333,2807.6667,174326.6667,18947.3333,697.5,6072,117,,,,,,5.1,17.3,2.8,240.0591,284.4948,374.3968,678.4804,375.572,237.0396,222.3841,417.2547,234.7513,257.085,309.7345,197.268,180.3107,634.9189,209.5656,355.7898,3.3,15.8,-0.9,0.8,5.6,1.1,-0.4,1.5,10.1,0.4,-0.8,1.5,1.1,2.6,0.8,3.4,10.777,,3.4511,,,,,,,,,,,8.473009023,8.166970321,516.6286498,417
THIES,2017,34729.3333,5174.3333,170600,36745.6667,810.6667,2361.6667,,126937.4257,280671.6876,24903.2936,93983.6544,68022.0574,6.4,15.9,0.31,230.0126,286.9965,392.9764,599.3187,277.7711,229.6749,234.4067,358.2791,236.7288,256.1354,234.8635,207.1629,212.3033,549.7974,211.1838,268.8659,3.1,12.7,-0.7,1.3,9.9,1.2,-0.7,1.9,11.3,0.4,-0.8,2.4,1.6,4,1.5,5.5,10.5227,78.6919,3.3283,81.9964,26.7402,6.0263,0.7413,22.1191,3.804,70.737,9.0607,95.7809,72.0097,8.582971797,8.193576918,520.5520088,388
THIES,2018,29115,,213050,20079,892,3540,,248118.7606,456134.8947,28035.3149,183666.0744,122605.9934,1.9,45.9,0.38,227.8454,297.8389,399.9023,544.9543,284.7428,220.6264,215.0801,488.2844,236.4587,262.1304,250.8583,181.4189,200.5409,492.8824,211.7218,412.3338,2.8,12.5,-0.6,1.1,6.3,1.9,-0.5,2.5,10.2,2.2,-0.6,1.9,1.4,3.2,0.7,3.9,11.6925,89.2335,3.4829,82.84,22.07,11.0125,0.4208,19.0916,7.4708,81.6988,11.5222,22.0886,7.1917,8.114886981,7.939294656,511.6018665,308
THIES,2019,87345,18744,639150,40770,52638,30893,17000,475625.9044,1510687.451,49436.1214,215270,288431.3642,4.3,39.5,0.34,226.7574,286.9002,400,560.1274,280.1393,216.4629,233.2155,693.903,254.2342,264.8628,291.8801,201.3357,227.8268,498.7773,196.9853,596.5333,3.2,12.9,-0.8,0.6,5.1,5.2,-0.2,1.1,9,1.3,-0.6,1.9,0.7,2.6,0.5,3.1,10.5104,77.036,3.514,72.77,28.95,12.7957,0.5691,,,52.7895,8.5874,25.9856,73.7071,8.153126304,8.068694109,506.8465408,363
THIES,2020,117808,38906,864504,104004,1989,11638,,,,,,,,,,229.5715,293.2946,400.7708,621.9739,333.689,238.7172,268.9151,482.3038,268.6044,277.4475,294.8831,218.4436,237.1409,606.2721,206.9384,337.4496,,,,,,,,,,,,,,,,,,,,65.77,44.52,10.1376,0.0851,11.6577,10.2189,73.4584,10.1948,26.4924,,8.667025712,8.08878722,489.8848626,543
THIES,2021,84009,44890,863456,70573,1712,8783,,,,,,,,,,240.3614,321.5283,406.8833,704.8204,415.1663,246.4184,275.938,415.2759,262.9907,289.3409,361.32,229.4387,222.3521,674.2556,216.6931,331.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.117143338,9.269778242,,511
ZIGUINCHOR,2015,,,,,,,,,,,,,40.6,3.3,0.36,,,,,,,,,,,,,,,,,7.6,25.5,-1.2,1.3,7.9,0.8,-0.6,4.2,19.1,0.1,-1.1,3.2,2.4,5.6,3.9,9.3,9.5373,39.4611,2.8409,,,,,,,,,,,8.832965912,8.45846846,190.9319978,1396
ZIGUINCHOR,2016,10505.3333,639.6667,900,2379,1775.3333,249,31145,,,,,,6.5,5.3,3.1,300,276.4283,481.966,635.464,255.056,262.5417,255.9184,606.4082,282.8568,363.6942,300,,271.0047,,250,,3.5,17.2,-0.9,0,5.7,1.1,-0.4,1.1,9.5,0.4,-0.8,3.4,1.9,5.3,1.2,6.5,8.5801,,2.9234,,,,,,,,,,,8.847907435,8.765137101,225.1886189,1097
ZIGUINCHOR,2017,10340.3333,151.3333,150.6667,1094,899,257.5,47068,21113.4517,150181.006,,29296.8674,63970.3274,12.7,6.2,0.35,300,285.7038,436.4537,642.1745,259.2153,271.0359,272.4783,596.1024,295.3299,338.6016,300,,271.0047,,250,,4.1,16.3,-0.9,0.3,5.2,1.6,-0.4,1.6,10.2,0.7,-0.8,2.6,1.7,4.3,1.3,5.5,9.2963,56.8368,2.739,39.8627,62.361,7.6555,0.8282,,10.6985,76.6356,9.6553,83.3879,9.4329,8.9412267,8.482425402,229.3169767,1179
ZIGUINCHOR,2018,12207.6667,,930.6667,1459,1307,196,,16525.2449,199549.82,,48729.3473,44122.2756,45.2,2.2,0.29,300,292.1663,403.9904,623.9294,284.2659,258.3825,255.9172,669.6123,304.9479,323.4437,300,,271.0047,,250,,7,23.8,-1.1,1.4,9.3,1.6,-0.6,3.8,18.6,1,-1,3.2,2.4,5.5,3.6,8.9,9.0393,56.8416,2.7301,46.42,55.97,26.5761,0.6787,,5.8712,70.5336,9.0311,5.6934,4.0029,8.632939055,8.365823886,218.4603618,1045
ZIGUINCHOR,2019,35885,618,2792,4097,4785,1019,84238,69959.4978,726266.7212,,64544.3095,143983.1283,45.5,6.3,0.33,300,302.808,429.8258,669.2708,417.4261,252.474,255.8449,800.531,296.6667,371.2174,300,,271.0247,,250,,6.4,22.3,-1.1,1.8,10.6,0.9,-0.7,4.3,19,0.3,-1.1,2.5,2,4.5,2.8,7.1,10.7968,69.8499,2.6501,53.81,50.64,4.174,0.7712,5.0317,,75.5718,10.7826,37.9415,10.7165,8.809008459,8.596222489,236.253341,920
ZIGUINCHOR,2020,44995,1420,3701,11807,3574,589,208405,,,,,,,,,301.4019,326.8608,448.6454,875.1939,491.8714,279.755,296.8605,725.5545,315.4823,394.086,304.4643,,271.5867,,251.6493,,,,,,,,,,,,,,,,,,,,,46.06,56.3,23.2735,0.4194,4.1099,,87.4051,8.1425,18.7775,,9.025359158,8.454558718,227.8495623,1697
ZIGUINCHOR,2021,45352,981,13926,4113,4361,723,87839,,,,,,,,,308.6476,326.0417,448.3264,853.6759,529.4362,286.0561,290.8763,651.7199,326.5735,366.5139,394.5437,,279.945,,256.4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.917180326,9.835411588,,1032
